,Number of patterns,noise level,recall accuracy rate,perfect recall rate
0,1,0.05,0.9814453125,0.0
1,2,0.05,0.97705078125,0.0
2,3,0.05,0.9755859375,0.0
3,4,0.05,0.9765625,0.0
4,5,0.05,0.973828125,0.0
5,6,0.05,0.97412109375,0.0
6,7,0.05,0.9754464285714286,0.0
7,8,0.05,0.97509765625,0.0
8,9,0.05,0.9765625,0.0
9,10,0.05,0.975390625,0.0
10,11,0.05,0.9752308238636364,0.0
11,12,0.05,0.9742024739583334,0.0
12,13,0.05,0.9757361778846154,0.0
13,14,0.05,0.9725864955357143,0.0
14,15,0.05,0.9749348958333334,0.0
15,16,0.05,0.97515869140625,0.0
16,17,0.05,0.9742647058823529,0.0
17,18,0.05,0.9749348958333334,0.0
18,19,0.05,0.9764083059210527,0.0
19,20,0.05,0.97421875,0.0
20,21,0.05,0.9754464285714286,0.0
21,22,0.05,0.9744318181818182,0.0
22,23,0.05,0.9755859375,0.0
23,24,0.05,0.9740397135416666,0.0
24,25,0.05,0.9744140625,0.0
25,26,0.05,0.9755483774038461,0.0
26,27,0.05,0.9746817129629629,0.0
27,28,0.05,0.976318359375,0.0
28,29,0.05,0.9753838900862069,0.0
