,num_iterations,recon_losses
0,0.0,1462.9692167156854
1,10.0,1414.5761478539557
2,20.0,1407.2276233643552
3,30.0,1399.402169148854
4,40.0,1402.3184680807992
5,50.0,1396.0829192039519
6,60.0,1394.3081634086236
7,70.0,1398.4557251955612
8,80.0,1395.1089084055893
9,90.0,1395.721235875352
10,100.0,1401.923206911613
11,110.0,1397.4237429258978
12,120.0,1394.0031773527273
13,130.0,1396.2977980439707
14,140.0,1396.558002572013
15,150.0,1398.6790055013626
16,160.0,1393.581828731797
17,170.0,1401.6407177328838
18,180.0,1395.1899468822392
19,190.0,1399.7366795919118
20,199.0,1400.8685581784705
